Automatic trading on BTCUSDT.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '02_auto_trade_auto_sell_BTCUSDT', 'symbol': 'BTC/USDT', 'tolerance': 150, 'current_trend': 1, 'min_sell_price': 29000.0, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 0.1, 'buy_price': 27931.2, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [27931.2], 'v_min': 27931.2, 'v_max': 27931.2}
2023-04-06 13:36:19, Price=27931.20, v_min=27931.20, v_max=27931.20, trend=1
2023-04-06 13:44:49, Price=27912.78, v_min=(27931.20,-18.42), v_max=(27945.29,32.51), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.78]
2023-04-06 13:45:04, Price=27912.76, v_min=(27931.20,-18.44), v_max=(27945.29,32.53), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.76]
2023-04-06 13:45:19, Price=27912.04, v_min=(27931.20,-19.16), v_max=(27945.29,33.25), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.04]
2023-04-06 13:45:34, Price=27912.05, v_min=(27931.20,-19.15), v_max=(27945.29,33.24), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.05]
2023-04-06 13:45:49, Price=27911.86, v_min=(27931.20,-19.34), v_max=(27945.29,33.43), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.86]
2023-04-06 13:46:04, Price=27908.64, v_min=(27931.20,-22.56), v_max=(27945.29,36.65), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27908.64]
2023-04-06 13:46:19, Price=27908.62, v_min=(27931.20,-22.58), v_max=(27945.29,36.67), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27908.62]
2023-04-06 13:46:34, Price=27906.81, v_min=(27931.20,-24.39), v_max=(27945.29,38.48), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.81]
2023-04-06 13:46:49, Price=27906.23, v_min=(27931.20,-24.97), v_max=(27945.29,39.06), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.23]
2023-04-06 13:47:04, Price=27906.19, v_min=(27931.20,-25.01), v_max=(27945.29,39.10), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.19]
2023-04-06 13:47:18, Price=27901.81, v_min=(27931.20,-29.39), v_max=(27945.29,43.48), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27901.81]
2023-04-06 13:47:33, Price=27901.81, v_min=(27931.20,-29.39), v_max=(27945.29,43.48), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27901.81]
2023-04-06 13:47:48, Price=27896.11, v_min=(27931.20,-35.09), v_max=(27945.29,49.18), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27896.11]
2023-04-06 13:48:03, Price=27896.00, v_min=(27931.20,-35.20), v_max=(27945.29,49.29), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27896.0]
2023-04-06 13:48:19, Price=27900.63, v_min=(27931.20,-30.57), v_max=(27945.29,44.66), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27900.63]
2023-04-06 13:48:34, Price=27900.63, v_min=(27931.20,-30.57), v_max=(27945.29,44.66), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27900.63]
2023-04-06 13:48:49, Price=27891.14, v_min=(27931.20,-40.06), v_max=(27945.29,54.15), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27891.14]
2023-04-06 13:49:04, Price=27891.14, v_min=(27931.20,-40.06), v_max=(27945.29,54.15), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27891.14]
2023-04-06 13:49:18, Price=27876.29, v_min=(27931.20,-54.91), v_max=(27945.29,69.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27876.29]
2023-04-06 13:49:33, Price=27873.69, v_min=(27931.20,-57.51), v_max=(27945.29,71.60), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27873.69]
2023-04-06 13:49:49, Price=27871.34, v_min=(27931.20,-59.86), v_max=(27945.29,73.95), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27871.34]
2023-04-06 13:50:04, Price=27885.30, v_min=(27931.20,-45.90), v_max=(27945.29,59.99), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27885.3]
2023-04-06 13:50:19, Price=27880.85, v_min=(27931.20,-50.35), v_max=(27945.29,64.44), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27880.85]
2023-04-06 13:50:35, Price=27864.38, v_min=(27931.20,-66.82), v_max=(27945.29,80.91), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27864.38]
2023-04-06 13:50:49, Price=27859.39, v_min=(27931.20,-71.81), v_max=(27945.29,85.90), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27859.39]
2023-04-06 13:51:04, Price=27866.24, v_min=(27931.20,-64.96), v_max=(27945.29,79.05), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27866.24]
2023-04-06 13:51:19, Price=27875.41, v_min=(27931.20,-55.79), v_max=(27945.29,69.88), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27875.41]
2023-04-06 13:51:34, Price=27876.05, v_min=(27931.20,-55.15), v_max=(27945.29,69.24), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27876.05]
2023-04-06 13:51:49, Price=27873.21, v_min=(27931.20,-57.99), v_max=(27945.29,72.08), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27873.21]
