Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 16:51:05, Price=1719.26, v_min=(1720.36,-1.10), v_max=(1721.97,2.71), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.26]
2023-04-10 16:51:20, Price=1719.08, v_min=(1720.36,-1.28), v_max=(1721.97,2.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.08]
2023-04-10 16:51:36, Price=1719.08, v_min=(1720.36,-1.28), v_max=(1721.97,2.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.08]
2023-04-10 16:51:50, Price=1719.15, v_min=(1720.36,-1.21), v_max=(1721.97,2.82), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.15]
2023-04-10 16:52:05, Price=1719.08, v_min=(1720.36,-1.28), v_max=(1721.97,2.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.08]
2023-04-10 16:52:20, Price=1718.56, v_min=(1720.36,-1.80), v_max=(1721.97,3.41), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.56]
2023-04-10 16:52:35, Price=1718.57, v_min=(1720.36,-1.79), v_max=(1721.97,3.40), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.57]
2023-04-10 16:52:51, Price=1718.64, v_min=(1720.36,-1.72), v_max=(1721.97,3.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.64]
2023-04-10 16:53:05, Price=1718.64, v_min=(1720.36,-1.72), v_max=(1721.97,3.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.64]
2023-04-10 16:53:20, Price=1719.03, v_min=(1720.36,-1.33), v_max=(1721.97,2.94), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.03]
2023-04-10 16:53:35, Price=1719.13, v_min=(1720.36,-1.23), v_max=(1721.97,2.84), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.13]
2023-04-10 16:53:52, Price=1719.13, v_min=(1720.36,-1.23), v_max=(1721.97,2.84), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.13]
2023-04-10 16:54:06, Price=1718.29, v_min=(1720.36,-2.07), v_max=(1721.97,3.68), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.29]
2023-04-10 16:54:20, Price=1718.00, v_min=(1720.36,-2.36), v_max=(1721.97,3.97), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.0]
2023-04-10 16:54:35, Price=1718.00, v_min=(1720.36,-2.36), v_max=(1721.97,3.97), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.0]
2023-04-10 16:54:50, Price=1718.00, v_min=(1720.36,-2.36), v_max=(1721.97,3.97), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.0]
