Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 15:30:03,27011.4,1744.71,1.064,0.5662
2023-03-28 15:31:02,26986.51,1742.46,1.0622,0.5647
2023-03-28 15:32:02,26968.77,1741.02,1.0604,0.564
2023-03-28 15:33:03,26920.01,1738.62,1.06,0.5633
2023-03-28 15:34:03,26907.68,1738.6,1.0593,0.5629
2023-03-28 15:35:02,26912.11,1738.91,1.0592,0.5635
2023-03-28 15:36:02,26919.98,1739.12,1.0591,0.5636
2023-03-28 15:37:02,26922.79,1739.37,1.0588,0.5639
2023-03-28 15:38:02,26939.33,1740.14,1.0595,0.5639
2023-03-28 15:39:02,26930.93,1739.7,1.0595,0.5638
2023-03-28 15:40:02,26926.49,1739.61,1.0591,0.5636
2023-03-28 15:41:02,26928.06,1739.85,1.0596,0.5638
2023-03-28 15:42:02,26897.59,1738.76,1.0588,0.5635
2023-03-28 15:43:02,26925.66,1740.46,1.0597,0.5643
2023-03-28 15:44:03,26932.7,1740.89,1.06,0.5646
2023-03-28 15:45:02,26946.86,1742.22,1.0613,0.5655
2023-03-28 15:46:02,26957.04,1742.99,1.0618,0.5654
2023-03-28 15:47:02,26964.51,1743.82,1.0612,0.5661
2023-03-28 15:48:02,26976.52,1744.08,1.061,0.5661
2023-03-28 15:49:03,26963.47,1743.04,1.0603,0.566
2023-03-28 15:50:03,26967.71,1743.09,1.0602,0.5659
2023-03-28 15:51:03,26973.01,1743.31,1.0603,0.566
2023-03-28 15:52:02,26963.72,1742.34,1.0597,0.5656
2023-03-28 15:53:02,26947.39,1741.58,1.0594,0.5652
2023-03-28 15:54:03,26933.66,1740.23,1.0586,0.5642
2023-03-28 15:55:02,26926.78,1739.62,1.0582,0.5642
2023-03-28 15:56:02,26938.29,1740.32,1.059,0.5647
2023-03-28 15:57:02,26949.08,1741.04,1.0595,0.5649
2023-03-28 15:58:02,26934.57,1740.0,1.0588,0.5645
2023-03-28 15:59:02,26947.33,1740.13,1.0593,0.5645
2023-03-28 16:00:02,26943.01,1740.03,1.0588,0.5649
2023-03-28 16:01:02,26938.5,1739.63,1.0593,0.5649
2023-03-28 16:02:03,26968.49,1741.9,1.0608,0.5653
2023-03-28 16:03:03,26981.89,1742.24,1.0612,0.5651
2023-03-28 16:04:02,26991.44,1743.0,1.062,0.5656
2023-03-28 16:05:02,26984.03,1741.87,1.0616,0.5652
2023-03-28 16:06:02,26983.28,1741.67,1.0613,0.5649
2023-03-28 16:07:02,26971.43,1740.9,1.0607,0.5646
2023-03-28 16:08:02,26974.01,1740.67,1.0609,0.5647
2023-03-28 16:09:02,26978.57,1741.51,1.0615,0.5651
2023-03-28 16:10:02,26963.82,1739.96,1.0601,0.5642
2023-03-28 16:11:03,26944.6,1738.74,1.0596,0.5639
2023-03-28 16:12:02,26939.31,1737.97,1.0593,0.5636
2023-03-28 16:13:03,26925.15,1737.32,1.0585,0.5632
2023-03-28 16:14:03,26937.58,1738.58,1.0593,0.5635
2023-03-28 16:15:02,26954.28,1740.06,1.0605,0.5643
2023-03-28 16:16:02,26988.37,1742.07,1.0616,0.5651
2023-03-28 16:17:02,26983.14,1741.79,1.0617,0.5648
2023-03-28 16:18:02,26977.1,1741.11,1.0613,0.565
2023-03-28 16:19:03,26983.01,1741.49,1.0612,0.5647
2023-03-28 16:20:02,26983.22,1741.12,1.0606,0.5642
2023-03-28 16:21:02,26978.65,1740.43,1.0605,0.5642
2023-03-28 16:22:02,26989.67,1740.86,1.0615,0.5646
2023-03-28 16:23:02,26992.19,1741.33,1.0619,0.5647
2023-03-28 16:24:02,26975.32,1740.13,1.0614,0.5648
2023-03-28 16:25:02,26975.78,1739.81,1.0612,0.5651
2023-03-28 16:26:03,26969.16,1740.03,1.0611,0.5649
2023-03-28 16:27:03,26969.96,1739.94,1.0606,0.5647
2023-03-28 16:28:03,26975.98,1740.37,1.0607,0.565
2023-03-28 16:29:02,26970.27,1739.62,1.0605,0.5654
2023-03-28 16:30:02,26995.36,1741.45,1.0618,0.5667
2023-03-28 16:31:02,27020.78,1742.2,1.0633,0.5668
2023-03-28 16:32:03,27051.39,1743.88,1.0651,0.5675
2023-03-28 16:33:02,27046.98,1743.55,1.0649,0.5682
2023-03-28 16:34:03,27028.79,1742.69,1.0639,0.5677
2023-03-28 16:35:03,27028.77,1742.81,1.0643,0.5678
2023-03-28 16:36:03,27025.8,1743.43,1.0639,0.5675
